tema,objetivo,variable,n_articulos,reportado,pct_reportado,categorias_top
T1,O1,fidelidad_visual_y_funcional_reportada,38,22,57.9,alta (14); media (4); media (no alta fidelidad) (1); alta (visual) y alta (funcional) (1)
T1,O1,modalidad_acceso,38,14,36.8,presencial obligatorio + acceso virtual complementario (6); exclusivamente remoto (6); Acceso 24/7 (2)
T1,O1,sistema_real_representado,38,36,94.7,planta de manufactura (6); planta de manufactura (complejo de fundición de aluminio) (1); laboratorio de instrumentación y medición (1); planta de manufactura (línea de producción de ruedas de automóvil) (1)
T1,O1,tecnologia_inmersiva_especifica,38,21,55.3,"Unity 3D (3); Unity Game Engine (2); Oculus Rift S, Oculus Touch, Unity (1); virtual reality headsets (1)"
T1,O1,tipo_entorno_dt,38,37,97.4,híbrido físico-virtual (18); inmersivo (RV/RA/MR) (11); remoto (4); virtual puro (3)
T2,O1,arquitectura_capas_modulos,26,16,61.5,"Descripción de capas (física, integración, digital, aplicación), módulos, microservicios o arquitectura general del sistema (2); Capas: física (sensores IoT, Arduino), integración (edge computing, 5G), digital (cloud-based DT platform), aplicación (user dashboard) (1); digital pyramid model aimed to connect the automation pyramid with its counterpart in the digital environment and showed the interaction at all levels of the business model (1); Arquitectura basada en OPC UA y Node-RED, con capas de integración (AAS como capa de abstracción), control distribuido (IEC 61499) y simulación (Factory IO). (1)"
T2,O1,componente_fisico,26,23,88.5,"Equipos, sensores, actuadores, PLC, robots, máquinas CNC, microcontroladores (Arduino/ESP32), FPGA, bancos de prueba, edificios o ausencia (3); Equipos, sensores, actuadores, microcontroladores (Arduino/ESP32) (1); PLC, robots, AGV, sensores, actuadores (1); PLC, sensors, actuators, robots (1)"
T2,O1,componente_virtual,26,23,88.5,"Motor 3D (Unity/Unreal), plataforma de simulación (Tecnomatix, NX MCD, Simcenter, Emulate3D), modelo BIM/GIS, CAD/CAE, dashboard (6); Motor 3D (Unity/Unreal) (3); Motor 3D (Unity/Unreal), plataforma de simulación (MATLAB), dashboard (1); NX MCD, TIA Portal, HMI (1)"
T2,O1,grado_sincronizacion_bidireccionalidad,26,20,76.9,"near-real-time (8); tiempo real (8); asíncrona (2); tiempo real, bidireccional automática (1)"
T2,O1,protocolos_estandares_comunicacion,26,23,88.5,"OPC UA (3); OPC UA, MQTT, TCP/IP, EtherCAT, REST, CoAP, Asset Administration Shell (AAS), IEC 61131-3/61499, BIM/PLM (2); 5G, IoT-based communication protocol (1); AS.i, Profibus, Profinet (1)"
T2,O1,tipo_gemelo_digital_taxonomia_kritzinger,26,18,69.2,digital twin completo (bidireccional automático) (10); digital shadow (7); Digital model (1)
T3,O1,datos_entrenamiento_o_inferencia,11,6,54.5,"datos sintéticos, datasets industriales (2); Datos industriales masivos (1); sensores DT (1); Sensores DT, logs estudiantiles, datos sintéticos, datasets industriales (1)"
T3,O1,funcion_de_la_ia,11,8,72.7,"diagnóstico, mantenimiento predictivo (2); Predicción, mantenimiento predictivo (1); Predicción, diagnóstico, mantenimiento predictivo (1); Predicción, diagnóstico, mantenimiento predictivo, retroalimentación automatizada al estudiante, personalización adaptativa, generación de contenido, validación de tareas, corrección automática (1)"
T3,O1,metricas_desempeno_ia,11,3,27.3,"Accuracy, precision, recall, F1 (1); fidelidad de surrogate, latencia de inferencia, frame rate (1); Accuracy, F1-score, Recall (1)"
T3,O1,tipo_ia_integrada,11,8,72.7,"Machine learning supervisado/no supervisado (2); Machine learning supervisado (1); deep learning (1); Machine learning, grafos de conocimiento, IA generativa (LLM/GAN) (1)"
T4,O2,alineacion_estandares_industriales,47,10,21.3,"ABET (3); ISA-95 (1); IEC 61499, IEC 61131-3, OPC UA, AAS (1); OPC-UA (1)"
T4,O2,colaboracion_industria_academia,47,10,21.3,"sí (1); Alianzas con empresas, co-desarrollo de currículo, validación con sector productivo (1); Sí (1); Alianzas con empresas, co-desarrollo de currículo, prácticas profesionales (1)"
T4,O2,competencias_i40_i50_desarrolladas,47,38,80.9,"IIoT, manufactura inteligente, automatización, analítica de datos, colaboración humano-máquina (I5.0) (3); IIoT, automatización, integración de sistemas, colaboración humano-máquina (I5.0) (2); IIoT, manufactura inteligente, automatización, analítica de datos, integración de sistemas, colaboración humano-máquina (I5.0) (2); ciberseguridad industrial (1)"
T4,O2,dominio_ingenieria,47,46,97.9,manufactura (12); automatización (9); mecatrónica (5); química (4)
T5,O2,andamiaje_y_rol_docente,47,36,76.6,"facilitador (17); facilitador/supervisor (9); Guías, scripts, tutoriales, feedback estructurado (5); Guías, scripts, tutoriales (1)"
T5,O2,duracion_intervencion,47,18,38.3,16 semanas (3); dos semestres (2); un semestre académico (1); 32 credit hours (1)
T5,O2,grado_participacion_estudiantil,47,42,89.4,experimentación activa (25); proyecto completo de ciclo de vida (12); exploración guiada (4); construcción del DT por estudiantes (1)
T5,O2,modalidad_ensenanza,47,38,80.9,presencial (20); blended (5); híbrida (4); Presencial (4)
T5,O2,modelo_pedagogico,47,43,91.5,aprendizaje activo (23); aprendizaje experiencial (14); learning factory (2); PBL (1)
T5,O2,nivel_educativo,47,45,95.7,Pregrado (31); mixto (6); posgrado (maestría/doctorado) (5); formación técnica/profesional (3)
T5,O2,programa_curso_asignatura,47,34,72.3,Weather Monitoring Use Case for DT Framework Testing (1); Smart Manufacturing senior technical elective (1); Simulation of Automated Production Systems (1); industrial networked manufacturing and application courses (1)
